Source,Winner,Winner Score,Loser,Loser Score,GameCode,GameID,AwayCode,Away Short Name,Away Long Name,HomeCode,Home Short Name,Home Long Name,AwayScore,HomeScore,Spread,Total
DataSkrive,Eagles,25,Buccaneers,24,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,25,24,3.5,44
DataSkrive,Texans,30,Titans,14,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,14,30,-7,38.5
DataSkrive,Lions,39,Browns,9,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,9,39,-10,44
DataSkrive,Patriots,26,Panthers,20,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,20,26,-5,43
DataSkrive,Chargers,27,Giants,14,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,27,14,6,43.5
DataSkrive,Bills,34,Saints,14,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,14,34,-15,48
DataSkrive,Commanders,27,Falcons,23,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,27,23,-1,45.5
DataSkrive,Rams,29,Colts,17,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,17,17,-3.5,49
DataSkrive,49ers,28,Jaguars,19,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,19,28,-3,47
DataSkrive,Raiders,22,Bears,20,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,20,22,-1,48
DataSkrive,Ravens,24,Chiefs,23,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,24,23,2.5,48.5
DataSkrive,Packers,29,Cowboys,18,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,29,18,6.5,48
DataSkrive,Dolphins,24,Jets,19,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,19,24,-2.5,44.5
DataSkrive,Broncos,29,Bengals,19,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,19,29,-7.5,44.5
TimCrean,Seahawks,16,Cardinals,13,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,16,13,1.5,44
TimCrean,Vikings,24,Steelers,20,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,24,20,2.5,41
TimCrean,Eagles,28,Eagles,27,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,28,27,3.5,44
TimCrean,Bills,35,Saints,12,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,12,35,-15,48
TimCrean,Lions,33,Browns,20,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,20,33,-10,44
TimCrean,Texans,14,Titans,10,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,10,14,-7,38.5
TimCrean,Chargers,35,Giants,17,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,35,17,6,43.5
TimCrean,Falcons,24,Commanders,21,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,21,24,-1,45.5
TimCrean,Patriots,21,Panthers,14,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,14,21,-5,43
TimCrean,Colts,28,Rams,27,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,28,27,-3.5,49
TimCrean,49ers,19,Jaguars,14,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,14,19,-3,47
TimCrean,Chiefs,33,Ravens,32,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,32,33,2.5,48.5
TimCrean,Bears,27,Raiders,10,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,27,10,-1,48
TimCrean,Packers,30,Cowboys,19,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,30,19,6.5,48
TimCrean,Jets,21,Dolphins,20,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,21,20,-2.5,44.5
TimCrean,Broncos,28,Bengals,12,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,12,28,-7.5,44.5
Copilot,Seahawks,27,Cardinals,20,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,27,20,1.5,44
Copilot,Vikings,23,Steelers,17,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,23,17,2.5,41
Copilot,Commanders,27,Falcons,17,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,27,17,-1,45.5
Copilot,Bills,34,Saints,14,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,14,34,-15,48
Copilot,Lions,31,Browns,17,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,17,31,-10,44
Copilot,Patriots,24,Panthers,21,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,21,24,-5,43
Copilot,Chargers,30,Giants,17,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,30,17,6,43.5
Copilot,Eagles,27,Buccaneers,20,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,27,20,3.5,44
Copilot,Texans,20,Titans,13,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,13,20,-7,38.5
Copilot,Rams,27,Colts,24,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,24,24,-3.5,49
Copilot,49ers,24,Jaguars,20,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,20,24,-3,47
Copilot,Ravens,27,Chiefs,23,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,27,23,2.5,48.5
Copilot,Bears,27,Raiders,21,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,27,21,-1,48
Copilot,Packers,27,Cowboys,20,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,27,20,6.5,48
Copilot,Jets,24,Dolphins,20,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,24,20,-2.5,44.5
Copilot,Broncos,24,Bengals,17,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,17,24,-7.5,44.5
Sportsnaut,Seahawks,20,Cardinals,17,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,20,17,1.5,44
Sportsnaut,Vikings,24,Steelers,17,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,24,17,2.5,41
Sportsnaut,Commanders,24,Falcons,16,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,24,16,-1,45.5
Sportsnaut,Bills,31,Saints,17,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,17,31,-15,48
Sportsnaut,Lions,23,Browns,13,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,13,23,-10,44
Sportsnaut,Patriots,27,Panthers,24,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,24,27,-5,43
Sportsnaut,Chargers,28,Giants,10,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,28,10,6,43.5
Sportsnaut,Buccaneers,31,Eagles,24,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,24,31,3.5,44
Sportsnaut,Titans,17,Texans,13,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,17,13,-7,38.5
Sportsnaut,Rams,31,Colts,24,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,24,24,-3.5,49
Sportsnaut,49ers,23,Jaguars,17,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,17,23,-3,47
Sportsnaut,Ravens,27,Chiefs,20,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,27,20,2.5,48.5
Sportsnaut,Bears,34,Bears,28,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,34,28,-1,48
Sportsnaut,Packers,34,Cowboys,24,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,34,24,6.5,48
Sportsnaut,Jets,24,Dolphins,21,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,24,21,-2.5,44.5
Sportsnaut,Broncos,27,Bengals,20,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,20,27,-7.5,44.5
VinnieIyer,Seahawks,24,Cardinals,20,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,24,20,1.5,44
VinnieIyer,Chiefs,23,Ravens,20,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,20,23,2.5,48.5
VinnieIyer,Chargers,30,Giants,10,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,30,10,6,43.5
VinnieIyer,Jets,24,Dolphins,20,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,24,20,-2.5,44.5
VinnieIyer,Steelers,20,Vikings,17,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,17,20,2.5,41
VinnieIyer,Commanders,27,Falcons,17,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,27,17,-1,45.5
VinnieIyer,Bills,34,Saints,17,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,17,34,-15,48
VinnieIyer,Lions,27,Browns,14,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,14,27,-10,44
VinnieIyer,Patriots,27,Panthers,24,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,24,27,-5,43
VinnieIyer,Eagles,27,Buccaneers,24,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,27,24,3.5,44
VinnieIyer,Texans,20,Titans,17,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,17,20,-7,38.5
VinnieIyer,Rams,27,Colts,24,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,24,24,-3.5,49
VinnieIyer,49ers,24,Jaguars,20,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,20,24,-3,47
VinnieIyer,Bears,27,Raiders,20,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,27,20,-1,48
VinnieIyer,Packers,27,Cowboys,17,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,27,17,6.5,48
VinnieIyer,Broncos,23,Bengals,17,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,17,23,-7.5,44.5
Dimers,SEAHAWKS,22,CARDINALS,20,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,22,20,1.5,44
Dimers,VIKINGS,21,STEELERS,19,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,21,19,2.5,41
Dimers,BILLS,31,SAINTS,17,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,17,31,-15,48
Dimers,TEXANS,23,TITANS,16,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,16,23,-7,38.5
Dimers,LIONS,26,BROWNS,18,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,18,26,-10,44
Dimers,COMMANDERS,24,FALCONS,22,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,24,22,-1,45.5
Dimers,EAGLES,24,BUCCANEERS,21,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,24,21,3.5,44
Dimers,PATRIOTS,25,PANTHERS,20,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,20,25,-5,43
Dimers,CHARGERS,25,GIANTS,19,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,25,19,6,43.5
Dimers,49ERS,25,JAGUARS,22,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,22,25,-3,47
Dimers,RAMS,26,COLTS,23,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,23,23,-3.5,49
Dimers,RAIDERS,24,BEARS,23,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,23,24,-1,48
Dimers,RAVENS,25,CHIEFS,23,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,25,23,2.5,48.5
Dimers,PACKERS,27,COWBOYS,21,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,27,21,6.5,48
Dimers,DOLPHINS,23,JETS,21,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,21,23,-2.5,44.5
oddsshark,Seahawks,17,Cardinals,28,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,17,28,1.5,44
oddsshark,Vikings,18,Steelers,26,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,18,26,2.5,41
oddsshark,Titans,19,Texans,28,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,19,28,-7,38.5
oddsshark,Commanders,22,Falcons,26,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,22,26,-1,45.5
oddsshark,Saints,14,Bills,33,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,14,33,-15,48
oddsshark,Browns,16,Lions,32,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,16,32,-10,44
oddsshark,Panthers,19,Patriots,27,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,19,27,-5,43
oddsshark,Chargers,21,Giants,26,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,21,26,6,43.5
oddsshark,Eagles,21,Buccaneers,26,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,21,26,3.5,44
oddsshark,Colts,23,Rams,24,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,23,24,-3.5,49
oddsshark,Jaguars,20,49ers,27,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,20,27,-3,47
oddsshark,Bears,22,Raiders,25,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,22,25,-1,48
oddsshark,Ravens,21,Chiefs,26,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,21,26,2.5,48.5
oddsshark,Packers,20,Cowboys,26,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,20,26,6.5,48
oddsshark,Jets,18,Dolphins,28,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,18,28,-2.5,44.5
oddsshark,Bengals,19,Broncos,26,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,19,26,-7.5,44.5
DRatings,Seahawks,22,Cardinals,22,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,22,22,1.5,44
DRatings,VIKINGS,22,STEELERS,19,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,22,19,2.5,41
DRatings,Eagles,25,Buccaneers,21,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,25,21,3.5,44
DRatings,Bills,35,Saints,11,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,11,35,-15,48
DRatings,Patriots,23,Panthers,19,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,19,23,-5,43
DRatings,Commanders,24,Falcons,23,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,24,23,-1,45.5
DRatings,Lions,29,Browns,16,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,16,29,-10,44
DRatings,Texans,24,Titans,16,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,16,24,-7,38.5
DRatings,Chargers,25,Giants,18,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,25,18,6,43.5
DRatings,49ers,24,Jaguars,20,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,20,24,-3,47
DRatings,Rams,25,Colts,20,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,20,20,-3.5,49
DRatings,Bears,23,Raiders,22,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,23,22,-1,48
DRatings,Ravens,27,Chiefs,22,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,27,22,2.5,48.5
DRatings,Packers,28,Cowboys,21,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,28,21,6.5,48
DRatings,Dolphins,22,Jets,19,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,19,22,-2.5,44.5
DRatings,Broncos,28,Bengals,16,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,16,28,-7.5,44.5
oddstrader,VIKINGS,22,STEELERS,19,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,22,19,2.5,41
oddstrader,Saints,20,Bills,27,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,20,27,-15,48
oddstrader,Titans,14,Texans,23,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,14,23,-7,38.5
oddstrader,Browns,18,Lions,27,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,18,27,-10,44
oddstrader,Commanders,24,FALCONS,21,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,24,21,-1,45.5
oddstrader,Chargers,22,GIANTS,19,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,22,19,6,43.5
oddstrader,Jaguars,22,49ers,24,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,22,24,-3,47
oddstrader,Bears,22,Raiders,23,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,22,23,-1,48
oddstrader,Packers,26,COWBOYS,22,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,26,22,6.5,48
