Drive Name,Drive Date/Time,Drive Link
UW Health Sciences,"04/01/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71637
Seattle Opera,"04/01/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73060
Lake Forest Park Town Center,"04/01/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73740
Pop-Up @ UW Tower,"04/02/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68904
City of Federal Way,"04/02/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74655
Pop-Up @ Kent Station,"04/03/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68618
1111 3rd Avenue Building,"04/03/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/75525
Pop-Up @ UW Tower,"04/03/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68905
UW Medical Center -- Northwest,"04/03/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71053
Ballard Eagleson VFW Post 3063,"04/04/2024
11:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73451
Issaquah Highlands - Blakely Hall,"04/05/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70962
Sno-Valley Senior Center,"04/05/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73984
Renton Community Center,"04/05/2024
10:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76085
Bellevue Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/1
Renton Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/9
Seattle Central Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/10
North Seattle Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/7
Federal Way Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/5
Lynnwood Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/6
