Week,Week Type,Start,End,GameId,Game Type,QuestionId,Question,Question Type,Type,StatId,Info,Value
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,3,WIDE RECEIVER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,4,TIGHT END,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,5,GC_QUESTION_MULTIPLE_TEAMS_RECEIVING,TEXT,Player Total,[12],,100
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,6,GC_QUESTION_MULTIPLE_TEAMS_RUSHING,TEXT,Player Total,[6],,100
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,7,DEFENSIVE LINE,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,8,LINEBACKER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,9,DEFENSIVE BACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,10,GC_QUESTION_QB_TD_PASSES,TEXT,Player Total,[1],,3
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,11,GC_QUESTION_OVERTIME,TEXT,Overtime,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,12,KICKER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,13,PUNTER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,14,GC_QUESTION_BLOCKED_KICKS,TEXT,Player Total,"[31, 32, 33]",,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,15,GC_QUESTION_KICK_RETURNS,TEXT,Player Total,"[19, 21]",,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,0,GC_QUESTION_WIN,SWAP,Team Compare,,['score'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,1,GC_QUESTION_OVERUNDER,TEXT,Team Stats,,['score'],43
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,2,QUARTERBACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,3,RUNNING BACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,4,WIDE RECEIVER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,5,TIGHT END,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,6,GC_QUESTION_YARDS_RUSHER,TEXT,Player Total,[6],,100
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,7,GC_QUESTION_TURNOVERS,TEXT,Team Stats,,['turnovers'],2
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,8,DEFENSIVE LINE,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,9,LINEBACKER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,10,DEFENSIVE BACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,3,Sunday Night,11,GC_QUESTION_PUNT_TOTAL,TEXT,Team Stats,,['punts'],8
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,0,GC_QUESTION_WIN,SWAP,Team Compare,,['score'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,1,GC_QUESTION_OVERUNDER,TEXT,Team Stats,,['score'],43
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,2,QUARTERBACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,3,RUNNING BACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,4,WIDE RECEIVER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,5,TIGHT END,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,6,GC_QUESTION_YARD_RECEIVER,TEXT,Player Total,[12],,100
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,7,GC_QUESTION_MORE_PUNTS,SWAP,Team Compare,,['punts'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,8,GC_QUESTION_MOST_OFFENSIVE_PLAYS,SWAP,Team Compare,,['offensivePlays'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,9,DEFENSIVE LINE,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,10,LINEBACKER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,11,DEFENSIVE BACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,12,GC_QUESTION_TIME_OF_POSSESSION,SWAP,Team Compare,,['timeOfPos'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,4,Monday Night,13,GC_QUESTION_TOTAL_PENALTIES,TEXT,Team Stats,,['penaltiesAccepted'],10
